,Unnamed: 0,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Latitude,Longitude
0,0,4850000,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.0258415,73.0593001
1,1,4500000,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,19.0258415,73.0593001
2,2,6700000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,19.0258415,73.0593001
3,3,4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,19.0258415,73.0593001
4,4,5000000,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,19.0258415,73.0593001
5,5,17000000,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19.0258415,73.0593001
6,6,12500000,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0,19.0258415,73.0593001
7,7,10500000,1370,Sector-13 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,19.0258415,73.0593001
8,8,10500000,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,19.0258415,73.0593001
9,9,15000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19.0258415,73.0593001
10,10,8700000,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1,19.0258415,73.0593001
11,11,9000000,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,19.0258415,73.0593001
12,12,11000000,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,19.0258415,73.0593001
13,13,10500000,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,19.0258415,73.0593001
14,14,9700000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19.0258415,73.0593001
15,15,10500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19.0258415,73.0593001
16,16,8000000,1250,Sector 18 Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,19.0258415,73.0593001
17,17,8500000,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19.0258415,73.0593001
18,18,9300000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,19.0258415,73.0593001
19,19,9900000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,19.0258415,73.0593001
20,20,8000000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19.0258415,73.0593001
21,21,9000000,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,19.0258415,73.0593001
22,22,4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,19.0258415,73.0593001
23,23,28000000,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19.0258415,73.0593001
24,24,40000000,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,19.0258415,73.0593001
25,25,16000000,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19.0258415,73.0593001
26,26,17000000,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1,19.0258415,73.0593001
27,27,9500000,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,19.0258415,73.0593001
28,28,9500000,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,19.0258415,73.0593001
29,29,7500000,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,19.0258415,73.0593001
30,30,8500000,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19.0258415,73.0593001
31,31,13000000,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,19.0258415,73.0593001
